Layer	Study	(NP80/NG80)	Batch_ID	GC Bias	Gene Length Bias	NG80	NP80	Phenotype_Processed	Platelet Score	RNA Degradation (3' Bias)	Sample Volume (mL)	Spliced Reads (%)	Total Centrifugation Force (g)	gDNA Contamination (Intron/Exon)	log(Total Reads)	rRNA Fraction
log2(FPKM)	Moufarrej et al.	0.0007996664499553274	0.000277925708935145	0.005961613287038481	0.006989988957226023	0.003318059143258445	0.009584397137019196	0.0	0.004019569141889279	0.002235128888057547	0.0	0.0012539850792891993	0.0	0.003555827782958154	0.0016049981080733522	0.0019140777511361673
log2(FPKM)	Roskams-Hieter B et al.	0.0	0.0020955268371321	0.006050251400061546	0.003042580629994074	0.0014276961391098686	0.005611868784012541	0.009674090360483611	0.0062317982596064025	0.0016853271042874818	0.00309559497439027	0.002495543915584264	0.00309559497439027	0.008425562421964017	0.0025573950506073695	0.004744352648336836
log2(FPKM)	Toden et al.	0.0007043439624000447	2.1963106460298754e-05	0.004251141867797625	0.011060171002467145	0.0010641333072195502	0.0056009784005487395	0.0007853114524353222	0.009850427116863791	0.008085849366032183	0.0	0.008005016384509123	0.0	0.007039395400918913	0.0037491528260997775	0.0004675446983567477
log2(FPKM)	Ward Z et al.	0.005472831002723222		0.009622118982969274	0.009877074850746626	0.010506073625339174	0.014193752562303596	0.012546939295391635	0.013553113745141565	0.006388937506382919	0.0	0.006811813910605258	0.0	0.00956967614533566	0.011088336968069767	0.01087758133184813
log2(TMM)	Chalasani et al.	0.0014933014352302987		0.0025156661682652626	0.004612923892279075	0.0023381779467426256	0.0024768766860910896	0.005084415451294788	0.007212405974464375	0.0034049943804977945	0.0	0.009173460139049294	0.0	0.007381394129519436	0.00716252819956853	0.0010850168594893628
log2(TMM)	Chang et al.	0.00047492501369283957	0.014914275815894218	0.0070421122533601554	0.0036154254103443195	0.0021216532600133453	0.004788483776701491	0.001715643159454383	0.007593979849851107	0.0028480036863748337	0.0002171006340854209	0.0022546855086265083	0.000222864415233337	0.0018305976097652277	0.012440122038696932	0.0033815310087607076
log2(TMM)	Chen et al.	0.0007246950905662741	0.00023192381392167505	0.01234155118244984	0.05641550616807944	0.003986058154970107	0.009134370202270259	0.0	0.01725922487783227	0.007082832575546649	0.0018482212847282797	0.0037909908686656335	0.0	0.009286824243200043	0.013973511241239356	0.007431596093444126
log2(TMM)	Gardella et al.	0.00019585970995861235	0.010497316888976593	0.006318271983070223	0.00804051327318489	0.0011496721208339444	0.006342562465865398	0.0006697841550244998	0.008792727000424883	0.007896118226372373	0.0	0.002220313699386245	0.0	0.004356582507919593	0.002248050110705724	0.0018950892430491528
log2(TMM)	Moore et al.	0.0001003385671706214	0.004259433879807428	0.0037576778361709806	0.012354878491454446	0.00022910907006734593	0.002369944492059739	0.0011615633816390858	0.008186260963837566	0.002247344457604883	0.0	0.001452766848224596	0.0005326565858163601	0.00397558242566598	0.0028442974478117833	0.0017115909151298458
log2(TMM)	Moufarrej et al.	0.0008242058143098641	0.0004588159894389765	0.006661265031373653	0.007248341820185411	0.0016809167147076032	0.0036311472019141533	0.0	0.003947027428005456	0.0022480253062973077	0.0	0.0009965113729171193	0.0	0.003623096439887563	0.0012115483963458518	0.001830911167910565
log2(TMM)	Roskams-Hieter B et al.	0.0007076942214222504	0.0010937789276610488	0.008455248522152958	0.004453119413894591	0.0014524114382259423	0.0029074519475431604	0.0111360980954478	0.006229337514189748	0.0023041249301801736	0.0025517492578239764	0.0028982754982562753	0.0025517492578236434	0.008661795145576301	0.0026007839036656932	0.004299177422616651
log2(TMM)	Toden et al.	0.0008978989937086235	0.00023956848140482823	0.004546834093671515	0.012972220205812235	0.0010651812676714112	0.0029067403319837926	0.0008377723622661204	0.010103151121053311	0.008400737406256908	0.0	0.0076726751472243615	0.0	0.007416257566824402	0.004720572437638015	0.0004342550315785676
log2(TMM)	Ward Z et al.	0.007174790309798618		0.011174483459481799	0.009234650294751012	0.008866746018663108	0.009551940644429435	0.01311881748812116	0.012878988840229866	0.006781520991149814	0.0	0.00803874914744851	0.0	0.011734831251554945	0.008657123457886051	0.009601244213706672
Salmon(Length Scaled)	Chalasani et al.	0.0003030298885244864		0.0023402901120064268	0.0017095360975247775	0.00033070960991476994	0.0007798371892075995	0.0014450455335457413	0.00930981856371138	0.003197295698561864	0.0	0.011330173548492972	0.0	0.0021434952642009897	0.29042457255736753	0.0
Salmon(Length Scaled)	Chang et al.	0.00041430797876462755	0.022139207358190416	0.0016015888678626578	0.0030136857834290876	0.0	0.003538907985697781	0.0	0.004621961255252938	0.0008530452827668622	0.0	0.009062262565759927	0.0	0.01243411357810964	0.09954582789739419	0.0
