nohup: ignoring input
Device   : cuda
H5AD     : /project/cfRNA_NormativeModeling/OpenAccess_nfcore/Merged_Processed_AnnData_with_Batch_Biases_QC_Status.h5ad
Save dir : /project/cfRNA_NormativeModeling/NB_GP/saved_models
HC samples       : 996 / 3159
Protein-coding   : 20097
Candidate genes  : 15185 (det_rate>=0.1, mean_count>=2.0)
[  55/15185] ENSG00000004777.19     det=0.51 mean=   13.5  theta: glm=0.27 bglm=0.27 lap=0.30  |  t: 0.0+1.1+4.2s
[  56/15185] ENSG00000004779.11     det=0.98 mean=  150.6  theta: glm=2.07 bglm=1.01 lap=1.08  |  t: 0.0+2.1+4.7s
[  57/15185] ENSG00000004799.9      det=0.97 mean=  247.9  theta: glm=1.46 bglm=1.01 lap=1.13  |  t: 0.0+2.0+4.6s
[  58/15185] ENSG00000004809.15     det=0.58 mean=   12.9  theta: glm=0.32 bglm=0.32 lap=0.46  |  t: 0.0+0.7+4.2s
[  59/15185] ENSG00000004846.17     det=0.33 mean=    3.1  theta: glm=0.15 bglm=0.15 lap=0.21  |  t: 0.0+2.2+3.8s
[  60/15185] ENSG00000004864.15     det=0.88 mean=   49.2  theta: glm=1.04 bglm=1.01 lap=1.17  |  t: 0.0+2.0+4.6s
[  61/15185] ENSG00000004866.23     det=0.97 mean=  257.3  theta: glm=2.54 bglm=1.58 lap=1.72  |  t: 0.0+2.1+4.6s
[  62/15185] ENSG00000004897.13     det=0.99 mean=  533.4  theta: glm=5.31 bglm=1.87 lap=2.05  |  t: 0.0+2.1+4.7s
[  63/15185] ENSG00000004939.16     det=1.00 mean= 3144.9  theta: glm=1.76 bglm=1.16 lap=1.37  |  t: 0.0+2.1+4.5s
[  64/15185] ENSG00000004961.16     det=0.95 mean=   87.0  theta: glm=1.52 bglm=1.16 lap=1.25  |  t: 0.0+2.1+4.4s
[  65/15185] ENSG00000004975.13     det=0.90 mean=   64.1  theta: glm=1.05 bglm=0.88 lap=0.96  |  t: 0.0+2.1+4.5s
[  66/15185] ENSG00000005007.15     det=0.99 mean=  487.6  theta: glm=4.08 bglm=1.74 lap=1.90  |  t: 0.0+2.2+4.5s
[  67/15185] ENSG00000005020.14     det=1.00 mean= 2820.9  theta: glm=8.33 bglm=1.41 lap=1.60  |  t: 0.0+2.2+4.7s
[  68/15185] ENSG00000005022.7      det=1.00 mean=  852.7  theta: glm=8.12 bglm=1.88 lap=2.07  |  t: 0.0+2.2+4.6s
[  69/15185] ENSG00000005059.17     det=0.97 mean=  111.6  theta: glm=1.86 bglm=1.13 lap=1.21  |  t: 0.0+2.1+4.5s
[  70/15185] ENSG00000005075.17     det=1.00 mean=  609.2  theta: glm=3.50 bglm=1.30 lap=1.44  |  t: 0.0+2.1+4.6s
[  71/15185] ENSG00000005100.13     det=0.92 mean=   73.6  theta: glm=1.46 bglm=1.29 lap=1.44  |  t: 0.0+2.1+4.6s
[  72/15185] ENSG00000005102.15     det=0.81 mean=   35.8  theta: glm=0.65 bglm=0.64 lap=0.74  |  t: 0.0+2.2+4.7s
[  73/15185] ENSG00000005108.17     det=0.58 mean=   17.2  theta: glm=0.31 bglm=0.31 lap=0.39  |  t: 0.0+0.8+4.3s
[  74/15185] ENSG00000005156.13     det=0.97 mean=  133.3  theta: glm=2.14 bglm=1.31 lap=1.42  |  t: 0.0+2.2+4.6s
[  75/15185] ENSG00000005175.11     det=1.00 mean=  292.1  theta: glm=3.34 bglm=1.40 lap=1.53  |  t: 0.0+2.2+4.6s
[  76/15185] ENSG00000005187.13     det=0.84 mean=   35.9  theta: glm=0.68 bglm=0.60 lap=0.64  |  t: 0.0+2.0+4.6s
[  77/15185] ENSG00000005189.21     det=0.75 mean=   24.1  theta: glm=0.60 bglm=0.60 lap=0.71  |  t: 0.0+2.0+4.6s
[  78/15185] ENSG00000005194.16     det=0.94 mean=   56.0  theta: glm=1.35 bglm=1.10 lap=1.21  |  t: 0.0+2.1+4.5s
[  79/15185] ENSG00000005206.18     det=0.67 mean=   30.3  theta: glm=0.38 bglm=0.38 lap=0.43  |  t: 0.0+1.0+4.2s
