,ENSG00000000003.17,ENSG00000000005.6,ENSG00000000419.15,ENSG00000000457.15,ENSG00000000460.18,ENSG00000000938.14,ENSG00000000971.18,ENSG00000001036.15,ENSG00000001084.14,ENSG00000001167.16,ENSG00000001460.19,ENSG00000001461.20,ENSG00000001497.19,ENSG00000001561.8,ENSG00000001617.13,ENSG00000001626.19,ENSG00000001629.11,ENSG00000001630.19,ENSG00000001631.18,ENSG00000002016.19,ENSG00000002330.15,ENSG00000002549.14,ENSG00000002586.21,ENSG00000002587.11,ENSG00000002726.22,ENSG00000002745.13,ENSG00000002746.16,ENSG00000002822.17,ENSG00000002834.20,ENSG00000002919.16,ENSG00000002933.10,ENSG00000003056.9,ENSG00000003096.16,ENSG00000003137.9,ENSG00000003147.20,ENSG00000003249.16,ENSG00000003393.17,ENSG00000003400.17,ENSG00000003402.22,ENSG00000003436.17,ENSG00000003509.17,ENSG00000003756.18,ENSG00000003987.15,ENSG00000003989.19,ENSG00000004059.12,ENSG00000004139.15,ENSG00000004142.13,ENSG00000004399.14,ENSG00000004455.19,ENSG00000004468.14
SRR14506682,0.19915052,0.20322749,-0.020157263,-0.03519057,-0.024507482,-0.0697358,-0.11365296,-0.032233033,-0.41315028,-0.19103758,-0.46374702,-0.40140072,-0.10575338,-0.13601848,-0.004940076,-0.34137225,-0.17607646,0.6908044,-0.20159811,-0.71730167,-0.006347779,0.29374102,-0.10079095,-0.16379288,-0.24716876,-0.48654196,-0.42283133,-0.35243967,0.12955998,0.004120491,-0.5273524,-0.22223559,-0.088116005,-0.4719223,-0.23392336,0.13788687,-0.18884452,0.014466599,-0.06550005,-0.24719335,-0.030272324,-0.16906653,-0.30807555,-0.44794464,-0.06481975,-0.35185933,0.09282477,0.19499467,-0.075702816,-0.4720276
SRR14506683,-0.41084626,-0.3042452,4.1556435,4.132813,0.8243897,17.336731,0.6271063,1.813173,2.9137573,3.4799333,-0.05264997,2.247045,6.8158836,0.47880563,0.70414174,-0.32362184,5.7133703,0.9953898,9.896057,-0.17919795,1.9925872,13.505784,3.1065776,2.2491288,-0.25835952,-0.485903,1.9395499,3.1600575,33.15599,1.79382,-0.031141838,5.00265,-0.17357627,-0.15384799,1.7646372,-0.18116975,1.2561903,3.3423715,27.111076,3.0999177,0.892734,12.30798,0.6821869,0.72802883,5.0855737,1.5798877,3.042727,3.2281713,7.065707,0.45482612
SRR14506685,-0.10189468,-0.20024672,0.08405639,-0.39652374,-0.37036,0.11304793,-0.01773269,-0.12403779,-0.30477798,-0.05454137,-0.25138515,0.2375518,0.14661254,0.019547341,2.0120382,-0.31680807,-0.084203705,-0.20721683,0.23816179,-0.34645557,-0.2876854,0.78387326,0.17083538,0.8396867,0.6502112,-0.22441173,1.1314206,-0.07359251,0.368068,0.119164705,0.48582107,-0.011291532,-0.122429274,0.66652894,-0.15407722,-0.39463785,-0.122131415,0.08604535,0.15780628,0.00503369,-0.41005093,0.06741185,-0.3026228,-0.44819787,0.025880782,0.22158884,-0.29331687,0.25983077,-0.018651204,-0.078771956
SRR14506686,-0.21095097,0.83322644,0.6237683,-0.040584248,0.31244043,1.6586664,0.34890383,0.46496636,0.030287689,0.30115703,0.46714258,0.080333404,0.60084987,-0.031357378,0.6232908,-0.33056438,0.81971884,-0.17211473,1.3253083,-0.6029234,-0.15164772,1.0162174,0.68877363,-0.4415326,-0.24454461,-0.39174813,-0.41019496,0.3851076,2.1921957,-0.099021316,0.4852134,0.64389825,0.0032531105,2.8346205,0.40020806,-0.5936379,0.21402028,0.799576,1.8496728,0.6006565,0.3089802,1.0970109,-0.30284393,0.41297215,1.4937066,0.06808112,0.4257855,0.572091,0.5301943,0.45745766
SRR14506688,-0.4049922,1.6668166,-0.16360414,-0.5808794,-0.38644513,-0.41669714,-0.36621982,-0.46541172,-0.38173732,-0.5045448,-0.13148357,-0.59040606,-0.43971533,-0.029904256,1.5340132,2.5013864,-0.42636606,-0.34459484,-0.49975887,-0.6181943,-0.43364537,-0.2902376,-0.0589537,0.052715186,2.0365732,-0.47524837,1.011366,-0.49071774,-0.32118854,-0.3989097,0.0037272475,-0.47986946,-0.54587436,0.2560184,-0.34586138,0.0183487,-0.26781282,-0.5189654,-0.43302217,-0.35319218,-0.53519756,-0.47632408,10.408534,0.63132274,-0.096144475,0.106657065,-0.27208653,-0.4296894,-0.46930432,-0.68704253
SRR14506689,0.3663668,-0.2951164,0.46447355,-0.06912061,0.24723707,0.5458148,0.24057837,0.07336726,0.41914958,0.17624046,0.8512271,0.20644517,-0.02728105,-0.09497017,-0.08420584,0.46472558,0.45217887,0.7247872,0.62160724,1.0614036,0.05794524,0.33500153,3.1996844,-0.04052245,-0.2412105,0.9961279,-0.42419076,0.3000355,0.82606536,0.2604539,-0.11477012,0.5268434,-0.2634517,0.67580354,0.16508763,-0.15644936,-0.25943053,0.47525582,0.6514871,1.9691602,-0.20635097,0.6710597,-0.26945662,-0.42174384,0.95545614,-0.55070585,0.5029041,0.089515254,0.58369297,0.03986365
SRR14506690,0.9127409,1.3903004,0.94961995,2.0061598,17.219496,7.920842,0.24974331,6.799246,8.354079,6.001578,0.4807879,23.675442,2.8034642,5.3420186,0.54177856,1.6889167,55.105015,1.1230309,52.968105,-0.4466883,14.608156,8.2581,408.6581,1.2207776,-0.06751004,-0.2454944,5.3758206,3.2603273,115.953125,0.42876512,-0.043371502,33.095333,3.8239198,1.0774858,25.932594,0.14296943,4.888528,2.659872,83.99004,367.62943,2.289423,25.179602,0.7309333,0.09574148,31.987402,1.363709,2.5638826,0.35725984,6.5399013,1.6217922
SRR14506691,-0.54347306,-0.21339811,-0.59711194,0.024559656,0.7590962,-0.49400374,-0.52565426,-0.4360787,-0.12775257,0.7004805,-0.7542888,-0.3351602,0.04107718,1.200396,-0.5298837,-0.3172766,-0.1720085,-0.46915248,0.1125704,-0.6837211,-0.0042293617,-0.5654198,0.34905538,-0.49686843,-0.2543132,-0.4608198,-0.2827196,-0.3593099,0.07310594,-0.75912625,2.650483,-0.24605851,-0.5937571,0.6153187,-0.1622919,-0.5854746,0.61170703,0.050819468,0.005174829,0.73774177,-0.7925056,-0.30932215,-0.2834885,-0.4253205,-0.16451506,-0.74629503,-0.17825685,0.12439683,-0.36289686,-0.7708561
SRR14506692,-0.54280776,-0.29257882,-0.17556654,0.28718102,5.1458397,0.058479514,0.6537729,-0.51428765,0.109150894,0.3094493,-0.24399051,-0.18402225,-0.31130335,0.28322497,10.178082,15.914626,0.3490586,3.9779518,0.044039637,1.4299676,0.26465815,-0.13439952,0.7321456,-0.5108413,-0.23894513,-0.4640181,-0.42010218,-0.03201952,0.0514791,1.410894,1.0042592,-0.31822985,0.41223308,-0.44846603,0.119572274,2.8273845,-0.04544121,-0.069698185,0.044347093,0.61402583,-0.16582672,-0.10496829,-0.27607882,-0.42985192,0.02992663,0.45106688,0.33036983,0.69466066,0.031077545,0.6934437
SRR14506693,-0.089911714,0.1991426,0.12837277,0.4070793,2.5514524,1.4213002,-0.5928492,0.6477529,0.9842594,0.84855086,1.4426646,1.8349795,1.2435207,-0.29399058,-0.5127511,-0.29666105,8.114247,0.157506,15.993915,1.6282374,4.1612124,3.3419154,61.17225,-0.20519881,-0.2562827,-0.46521485,0.63996524,0.65865767,17.246489,0.1697881,-0.60097307,6.3951225,0.2631475,-0.46014777,5.130671,-0.5893513,0.12306149,0.048200287,15.692618,86.29603,-0.5195564,11.253959,-0.2840146,0.82495475,4.434362,0.00905459,0.51253057,0.5576869,0.41682667,-0.6269003
