,ENSG00000000003.17,ENSG00000000005.6,ENSG00000000419.15,ENSG00000000457.15,ENSG00000000460.18,ENSG00000000938.14,ENSG00000000971.18,ENSG00000001036.15,ENSG00000001084.14,ENSG00000001167.16,ENSG00000001460.19,ENSG00000001461.20,ENSG00000001497.19,ENSG00000001561.8,ENSG00000001617.13,ENSG00000001626.19,ENSG00000001629.11,ENSG00000001630.19,ENSG00000001631.18,ENSG00000002016.19,ENSG00000002330.15,ENSG00000002549.14,ENSG00000002586.21,ENSG00000002587.11,ENSG00000002726.22,ENSG00000002745.13,ENSG00000002746.16,ENSG00000002822.17,ENSG00000002834.20,ENSG00000002919.16,ENSG00000002933.10,ENSG00000003056.9,ENSG00000003096.16,ENSG00000003137.9,ENSG00000003147.20,ENSG00000003249.16,ENSG00000003393.17,ENSG00000003400.17,ENSG00000003402.22,ENSG00000003436.17,ENSG00000003509.17,ENSG00000003756.18,ENSG00000003987.15,ENSG00000003989.19,ENSG00000004059.12,ENSG00000004139.15,ENSG00000004142.13,ENSG00000004399.14,ENSG00000004455.19,ENSG00000004468.14
SRR14506671,0.047645904,-0.89173436,0.96658003,0.062355787,3.0662615,-1.619335,0.46216404,0.72610414,2.1889095,-0.78148735,0.41251004,0.80645114,-1.6521124,-0.67688525,-0.9754626,-0.63421935,3.260698,2.8768487,40.449524,-0.4903057,3.968604,55.85809,2.7669795,-0.685226,-0.2834153,-0.7693045,-0.7433359,19.671692,126.3309,0.8887432,-0.4648637,6.580206,-0.78002053,-1.0030321,0.32883042,-0.91252714,0.15084533,-1.349336,47.171795,1.07402,0.14274359,13.0789175,-0.6652862,-0.90185803,0.19291547,-0.15010874,-1.0579342,7.9186683,22.915394,0.1277021
SRR14506672,0.6090141,-0.5062212,9.173649,1.3890446,0.21909216,-1.4393365,-0.04755377,-0.9103622,17.289724,-1.3029044,1.0429091,2.0500863,-1.6256604,-0.30684376,-0.6463802,-0.414709,15.65294,0.43156442,81.11634,-0.9318348,4.93256,77.2438,0.14715843,-0.98259467,-0.5760917,-0.7494297,2.9967186,20.260283,197.03639,1.8724723,-0.8923868,11.05612,-0.9424746,-0.92754406,0.67984545,0.94664806,0.50173956,-1.2652252,78.67753,0.3243675,0.31531504,26.245577,-0.29204848,-0.94795376,-0.24169517,-0.61353046,-1.280899,17.313637,40.76089,0.033536527
SRR14506673,-0.4721289,-0.58483684,5.11488,0.16026694,0.6346876,-1.1416794,-0.8483141,-0.23453635,1.305357,-0.15124592,0.65343535,2.1851442,-1.3288494,0.16550775,-0.7900107,-0.79798454,2.6738644,0.29506394,21.713062,-0.9301414,2.0027258,43.04562,0.5580528,-0.94460064,-0.58015454,-0.42581826,-0.6162612,8.13415,50.698963,-0.23805197,2.0430486,7.386067,-0.55564666,-1.0138,0.15480569,0.1064585,0.23198298,-0.24581411,24.525507,1.6700531,-0.40308523,10.954184,-0.49418902,-0.9603237,-0.609901,-0.4981314,-0.7092484,4.2388887,15.937846,0.07873261
SRR14506674,-0.99053764,-0.5261001,8.261017,-0.63810414,-0.27355498,-1.3667667,1.5242789,-0.4002381,4.6363206,-1.150608,-0.9049649,0.97773415,-1.3897829,1.0619103,-0.5506002,-0.472778,6.4283767,2.4975321,36.934174,2.113125,3.0733595,95.490456,0.26262546,-0.817814,-0.628917,-0.9258644,-0.3548123,0.88484365,116.452576,-0.8448113,0.2793858,10.299889,1.6431695,-0.9591789,0.05037619,-0.9124218,1.2941349,-1.6232153,43.50659,1.8422691,0.09067779,17.36959,-0.4574846,-0.8470847,-1.0745653,0.5911988,-0.5953041,33.071674,24.126049,-0.9385635
SRR14506675,0.8165644,-0.8570492,2.5036418,-0.1059091,0.8241611,-0.6013359,0.66339666,0.117027655,1.7064083,0.18170615,0.646418,2.985076,-1.6769962,0.75743145,-0.78262013,-0.47027427,3.3945382,-0.3411952,18.723352,-0.77412087,2.3540516,18.825865,2.9969182,-0.029180508,-0.3659504,-0.8677722,-0.8282308,2.1615887,35.332203,1.5332096,-0.80252653,6.621781,0.47724634,-1.0337093,1.4716756,-0.46053076,0.41341764,-0.59739506,15.902558,4.667968,-0.47788393,7.178062,-0.6020055,-0.96678454,1.8935453,-0.88695246,-0.3464016,1.53834,9.860385,-0.034306493
SRR14506676,0.025799466,-0.8871936,0.89388967,-0.41734996,0.039365925,-1.3091357,0.3807409,-0.2792671,0.07186668,-1.2126411,-0.70817053,5.1967583,-1.7348634,0.014065672,-0.69824684,-0.7335533,2.3685899,-0.124824464,18.596092,-0.89165384,2.4490151,25.749275,2.9561672,-0.98698545,-0.78752416,-0.8846754,-0.74027675,4.577963,116.41778,0.64178854,-0.6447449,9.232989,0.1790646,-0.6513178,-0.07195298,-0.6445045,0.27917665,-1.0529875,31.879286,1.4641815,-0.630115,8.518575,-0.67540807,-0.96401674,1.1320482,-0.58974993,0.4404238,4.131752,14.934539,0.023460316
SRR14506677,-0.9827402,-0.6390392,6.999717,0.690519,0.8848557,-1.1283771,0.3638028,-0.441964,-0.088076405,-1.126469,0.3146156,1.7764828,-1.515336,-0.16230427,3.924237,-0.6662658,11.650216,-0.89630646,64.82906,-0.92367584,5.507429,118.947685,1.9896853,-0.66791385,2.9436407,-0.9190294,-0.67496,8.527386,215.70949,1.1489335,-0.5269855,14.101975,-0.51957035,-0.98309743,1.8035585,-0.9372112,0.69889563,-0.46729836,70.91537,1.1466408,-0.38611487,25.163708,-0.39936972,-0.98334897,-0.06661078,0.54363966,-0.66710526,22.607254,29.321516,-0.12910515
SRR14506678,-0.9781958,-0.70503086,11.71246,2.5476725,1.5706986,-1.2023069,3.1064444,0.9208587,2.2396092,-1.0402269,-0.91089326,4.1817036,-1.3317536,0.67322326,3.3557944,-0.78506464,10.441192,0.27753127,61.156754,-0.9467641,7.32025,201.2732,1.121033,-0.9267348,-0.6715648,-0.8358784,-0.82259166,19.297361,249.64021,1.3615786,-0.9191052,25.925148,-0.9822925,-0.9668264,0.33376992,-0.95725185,-1.2751347,0.9036208,73.03127,0.59076273,-0.950935,27.206186,-0.36437365,-0.9285257,-0.21913882,0.4008578,-0.021308629,25.174019,66.10827,0.88358253
SRR14506679,-0.8784487,-0.80619717,3.7773857,1.129619,2.4272883,-1.3446249,1.5957401,0.5828978,1.3867909,-1.3088168,0.47693375,1.3202091,-1.6667883,0.35671344,-0.23314598,-0.69104874,7.0788054,-0.33832783,49.846863,-0.90673816,5.8498845,79.16781,0.1293304,-0.90529054,-0.84088165,-0.82145673,-0.74516284,16.878399,191.04349,1.8868899,-0.8928608,9.504997,1.4838246,-0.66415495,0.95594066,-0.70664436,3.31454,-1.1566403,45.80483,2.6134186,-0.7393303,12.841253,-0.6549274,-0.46859455,0.049900748,-0.5126217,-0.79885924,26.20313,24.213387,-0.15983275
SRR14506680,-0.75931543,-0.75251174,1.9795283,-0.27935565,0.22661878,-1.262937,-0.89982426,0.2485543,0.0013723191,0.24063289,0.022581877,2.1086977,-1.2522278,2.151907,-0.97322387,-0.77827793,4.133877,-0.48273903,22.217197,-0.80174285,3.3078876,23.0565,2.9169238,-0.8986065,-0.8479741,-0.1063146,-0.16487433,5.170201,31.991966,0.13257241,-0.71470714,7.195965,-0.15792818,-0.97106385,0.7057096,-0.78098077,0.47986922,-0.60397446,12.6443405,7.249219,-0.11025216,7.8088307,-0.82346475,-0.9397631,0.85362107,-0.14651266,-0.29071945,4.8417244,3.2237377,-0.043424018
SRR14506682,6.016196,0.5343883,16.149937,0.36153945,0.41270214,-1.3953129,-0.40671793,0.31416515,-0.6533673,-1.523313,-0.54050297,0.8219097,-1.7653112,-0.3930245,-0.31154382,-0.8222821,8.234162,1.196905,62.949883,-0.9333219,7.408651,522.4886,1.3345886,-0.19603431,-0.7882298,-0.9302043,-0.7824878,34.356792,474.11142,0.91382945,-0.7296884,19.172781,0.3191776,-1.018201,0.67781353,1.3681012,0.6145821,-1.2964182,125.82981,-0.027166031,-0.09476579,32.33746,-0.7439109,-0.9704372,2.2994196,-0.5089387,-0.646554,54.98966,100.278595,-0.5242488
SRR14506683,-0.1896005,-0.8797413,16.609446,2.4464018,0.5495339,-0.30829236,-0.058720235,0.68562573,0.84319323,-1.1383442,-0.25476807,1.8149828,-1.2083635,-0.16470098,3.4916692,-0.8371728,3.914492,0.12561138,39.52809,0.049199883,3.7412274,202.6602,-0.27249092,9.057367,-0.87508696,-0.89654845,0.38397166,18.515572,129.28223,0.7819874,-0.5426632,24.069185,0.82649267,-0.44479802,0.97166073,3.2087476,0.12604693,-0.7954218,53.16183,0.67048544,0.48833254,19.691235,-0.5730583,2.3032482,3.2207482,0.7047889,-0.0913089,16.441183,64.131775,-0.0014141927
SRR14506685,-0.3517766,-0.4487153,21.633814,-0.36263865,-0.13797545,-1.2936616,-0.23566422,0.26736823,-0.07201665,-1.3689978,-0.2925864,6.4914594,-1.6544365,-0.08628436,2.439138,-0.5748587,7.8283896,-0.2203915,89.973236,-0.5511864,4.448657,638.4401,0.9957998,1.6420654,-0.053196,0.5954251,3.189678,69.23836,429.9631,1.8757862,-0.029647427,27.844437,-0.06310591,-0.44365522,0.29222098,-0.8188816,1.094074,-1.1119542,110.40084,-0.21280842,-0.43713698,34.48098,-0.65505373,-0.9853578,2.7540581,0.2471758,-1.0419204,54.09617,99.28274,0.031719457
SRR14506686,3.4026003,1.0675403,18.99393,-0.07430075,0.98288256,-1.1377864,0.0512413,0.75529695,0.14302309,-1.4306802,0.3108247,2.2418134,-1.6699207,-0.20983684,1.9802444,-0.68366057,9.525178,-0.25071073,77.72186,-0.80361724,2.5457394,275.48074,1.663807,-0.6220005,-0.8216471,-0.3632207,-0.8098432,47.89508,257.64456,0.22777791,-0.14687511,28.673841,-0.39763907,2.8336813,1.3413668,-0.96282095,0.9938453,-1.0549939,79.97374,1.3168955,0.30077118,26.387972,-0.79220665,2.803185,6.0986714,-0.06430218,-0.6376955,33.52063,84.25751,0.44488537
SRR14506688,-0.6361186,0.60366166,9.363592,-0.6338561,-0.42681023,-1.343606,-0.58179563,-0.4011043,0.5550976,-1.4803278,-0.2911815,-1.0464051,-1.6929762,-0.3070165,2.7805543,-0.27806824,4.2096562,-0.38617298,8.8097925,-0.9064652,1.0349435,92.79625,2.5875483,4.259847,1.2903184,-0.94429725,1.2771816,3.9187913,72.49755,0.46800515,-0.6146211,3.7422414,-0.9340649,-0.36663106,0.16030286,-0.5833157,1.066884,-1.303841,16.981506,-0.1842147,-0.6753232,7.741127,1.4990731,0.12699449,2.5802577,0.16788642,-0.5592293,5.6281204,17.597181,-0.82770085
SRR14506689,-0.22837354,-0.6791641,16.991856,0.5138339,0.15629917,-0.33094662,0.36009648,0.33669412,4.497499,-0.8904346,1.170703,2.651064,-1.5902797,-0.02812692,-0.371379,1.3101726,4.218127,0.9236911,33.82109,1.2540526,4.4576507,93.69121,1.2159833,-0.36311564,-0.6464978,2.947377,-0.81852174,30.757933,154.65244,2.3311431,-0.28124338,17.876188,-0.5067781,-0.033492062,0.067661114,-0.21769834,0.1584216,-0.022988606,55.752247,0.57933533,-0.17181629,20.575842,-0.41355738,-0.8953208,2.5537102,-0.5993647,0.67682666,19.113468,64.12014,0.24135943
SRR14506690,2.2976875,-0.16550367,1.0952412,0.64204174,11.051047,1.4538147,-0.17833233,6.0498962,3.3924668,1.8643258,0.19775641,11.190802,-0.12568691,5.7144423,0.28933755,-0.3424819,22.434778,0.42318383,38.76472,-0.6323959,17.411102,18.060654,33.127174,2.2548268,-0.69700176,-0.6593514,3.6423771,5.290148,62.223476,-0.17816347,-0.2750307,21.831215,18.91475,2.228401,9.516135,0.6724633,3.4706345,0.9781248,35.970303,35.57199,3.0490499,13.014279,-0.47938064,-0.12908043,9.665679,1.2609782,1.7806112,0.5855745,9.60098,1.2047147
SRR14506691,-0.96836704,-0.6762171,-0.52460986,1.1477373,1.5648084,-1.8675848,-0.6364287,-0.35764694,0.72057635,2.083951,-0.86314976,0.11621894,-0.7040805,1.7356193,-0.926509,-0.6473917,1.74402,-0.65525824,20.025959,-0.93199825,0.38469997,0.046814915,-0.10698849,-0.9719606,-0.79739124,-0.83024657,-0.42634323,2.4077084,27.435366,-1.1947571,1.0197322,2.5935297,-0.96185786,-0.47504804,0.11302467,-0.9532961,3.3456385,0.38328812,13.521258,1.3655105,-0.88118285,4.0161757,-0.6807827,-0.9928436,-0.7941521,-0.86559916,-0.51107174,7.588053,3.548022,-0.9077741
SRR14506692,-0.97294664,-0.779295,7.7437005,1.7276118,11.6324415,-0.70560956,1.1796898,-0.54594624,3.3907614,-0.42851582,-0.24812295,1.4546913,-1.7024103,0.24308906,5.7135816,20.963194,11.645083,5.9453917,53.704536,2.702229,6.0740957,76.93087,1.2332875,-0.93848836,-0.74324924,-0.809645,-0.7485329,25.64819,185.77596,5.7415586,2.6307318,6.2214937,0.14228596,-0.97330594,0.7732181,1.3152859,0.7308566,-0.94666696,97.532875,1.3705839,-0.004620942,18.942593,-0.46595505,-0.9693977,0.21318193,1.1043196,0.17919022,41.397686,48.50262,1.0236197
SRR14506693,-0.094752274,-0.5650829,3.5279963,0.95068043,0.29606247,-0.4715103,-0.6554585,0.49178395,2.8435254,-0.5814252,1.8543003,1.3127053,-0.85311085,-0.35711837,-0.8932617,-0.7750637,3.0932264,0.015097298,28.02958,1.9600012,11.033033,55.06294,1.8479441,-0.516789,-0.9126871,-0.83457494,0.37454847,8.080341,67.73027,1.0552752,-0.8917426,13.575326,0.61981267,-0.9800734,0.8511195,-0.93289346,0.29409543,-0.64658326,43.191185,5.0912366,-0.5620328,14.582672,-0.82034403,-0.15013912,0.3117102,0.35123137,0.3241344,11.05657,8.731889,-0.7098623
