,ENSG00000000003.17,ENSG00000000005.6,ENSG00000000419.15,ENSG00000000457.15,ENSG00000000460.18,ENSG00000000938.14,ENSG00000000971.18,ENSG00000001036.15,ENSG00000001084.14,ENSG00000001167.16,ENSG00000001460.19,ENSG00000001461.20,ENSG00000001497.19,ENSG00000001561.8,ENSG00000001617.13,ENSG00000001626.19,ENSG00000001629.11,ENSG00000001630.19,ENSG00000001631.18,ENSG00000002016.19,ENSG00000002330.15,ENSG00000002549.14,ENSG00000002586.21,ENSG00000002587.11,ENSG00000002726.22,ENSG00000002745.13,ENSG00000002746.16,ENSG00000002822.17,ENSG00000002834.20,ENSG00000002919.16,ENSG00000002933.10,ENSG00000003056.9,ENSG00000003096.16,ENSG00000003137.9,ENSG00000003147.20,ENSG00000003249.16,ENSG00000003393.17,ENSG00000003400.17,ENSG00000003402.22,ENSG00000003436.17,ENSG00000003509.17,ENSG00000003756.18,ENSG00000003987.15,ENSG00000003989.19,ENSG00000004059.12,ENSG00000004139.15,ENSG00000004142.13,ENSG00000004399.14,ENSG00000004455.19,ENSG00000004468.14
SRR28476070,0.065432414,0.2344748,-0.093575254,0.16503304,-0.21862696,-0.0399337,-0.10380011,-0.21742801,0.021951986,-0.009238559,-0.28841147,-0.038431548,0.13413733,-0.314996,-0.080138244,-0.30746955,0.02230007,-0.22402743,-0.014905441,-0.1820323,-0.1470351,0.05579991,-0.066557854,-0.22880895,-0.3103175,-0.24584332,-0.30946788,-0.21546856,0.061551534,0.10667005,-0.18021965,-0.044364717,-0.31420276,-0.1666985,-0.20105347,-0.28390792,-0.008561758,0.06868718,0.16796225,-0.19579105,0.019422414,0.014110815,-0.30646428,-0.18599728,-0.0513931,-0.16628824,-0.061277777,-0.083077215,0.3288075,0.00027440986
SRR28476071,-0.3143733,-0.30687794,-0.09614197,-0.09343065,-0.2229774,-0.079160884,-0.23346466,-0.30270043,-0.17792065,-0.08667356,-0.23548168,-0.25157946,-0.09779593,-0.066491134,-0.31510904,-0.30926016,-0.13278991,-0.29694653,-0.04322338,-0.090740226,-0.2205223,0.04545821,-0.10219483,-0.314452,-0.31106448,-0.10264369,-0.31075403,-0.1728358,-0.04457356,0.024294913,0.09805143,-0.13964298,-0.31353912,-0.31479102,-0.12912335,-0.16087703,-0.13459235,-0.11406823,0.30305675,-0.094516985,-0.07394351,0.11235769,-0.30911264,-0.31380782,-0.2232671,-0.14443931,0.033722248,-0.16066904,0.1367177,-0.23521882
SRR28476072,-0.3144118,-0.3019134,-0.08705273,-0.037430722,-0.12738997,-0.19193485,-0.18806888,-0.18042903,-0.22109632,-0.1467527,-0.29008338,-0.17155379,-0.13349152,-0.23727249,-0.09815449,-0.30859867,0.04612105,-0.2619669,-0.0074748504,-0.31545803,-0.046550762,-0.048589364,-0.022780275,-0.3135336,-0.30730468,-0.3123868,-0.30974308,-0.16150787,-0.010790684,-0.12510657,-0.16362435,-0.21272144,-0.13126756,-0.19844002,0.09444877,-0.27759784,0.027781514,-0.076683454,0.44143856,0.103798,-0.18120465,0.14869717,-0.30475056,-0.24422354,-0.16790767,-0.28794846,-0.054886535,-0.15116595,-0.1801549,-0.277146
SRR28476073,-0.28061554,-0.3047648,-0.092239626,-0.17280176,0.04518644,-0.13406207,-0.26414463,-0.20204951,-0.10618183,-0.033717215,-0.17464136,-0.13574119,0.16398735,-0.29360026,-0.31496087,-0.30905598,-0.058629695,-0.31528723,0.022215188,-0.20366094,-0.17116137,-0.06302143,-0.018338775,-0.3138836,-0.31044778,-0.3115356,-0.2028549,-0.107015215,0.013088073,-0.1474733,-0.3153986,-0.03670084,-0.19908793,-0.2867629,-0.12635094,-0.101522356,-0.05650934,-0.17275634,0.44593143,-0.06468529,-0.24643052,0.12956874,-0.30857876,-0.3139151,-0.18217963,-0.19452482,-0.13846941,-0.19511767,0.039116293,-0.11211993
SRR28476075,-0.23008008,-0.27540675,0.05738796,-0.09293697,-0.25868824,0.061458033,-0.13620843,-0.28786424,-0.14401105,-0.18894202,-0.24158412,-0.040026143,-0.080475196,0.017102333,-0.24880236,-0.31401044,0.06028878,0.029137371,-0.12597948,-0.31513205,-0.09568809,0.6184134,-0.03970043,-0.16479892,-0.31019837,-0.30902344,-0.31440327,-0.14171846,0.4223023,-0.23236465,-0.31516373,-0.010490928,-0.30936763,-0.13921657,0.055367548,-0.31493017,-0.15354833,0.11591721,-0.056520507,-0.2710919,-0.2645839,-0.16326867,-0.31034237,-0.31256306,0.0887261,-0.2975994,0.07981952,-0.18546931,-0.0001211016,0.2664678
SRR28476076,-0.31375805,-0.2978227,-0.107358806,-0.009429787,0.26172855,-0.0038144372,-0.1456208,-0.31507474,-0.1561655,-0.19152388,-0.314364,-0.18108398,-0.1705742,-0.2129651,-0.31387758,-0.3103077,-0.17649785,-0.2296135,-0.11959491,0.020892257,-0.1234153,0.02878989,0.25270543,0.10108884,-0.3066433,-0.22337954,-0.31163993,-0.06313432,-0.10907787,-0.22365186,-0.31480676,-0.16013905,-0.31096336,-0.18509406,0.08111361,-0.31520897,0.1713984,0.22540073,0.042412054,-0.19877154,-0.04658489,-0.06739285,-0.30880982,-0.31177342,-0.09577057,-0.25742286,-0.007961887,-0.2047836,0.027664777,-0.21531788
SRR28476079,-0.314125,-0.30178142,-0.038411744,-0.094086565,-0.29898232,0.047760356,-0.08252765,-0.26347795,-0.12446582,-0.12898882,-0.25682148,-0.08946069,-0.22257255,0.15550227,-0.31466243,-0.30989814,0.025891036,-0.12665889,-0.014418026,-0.2870543,-0.0461683,0.30949694,-0.088575944,-0.31456485,0.40870264,-0.19354871,-0.31093472,-0.02456954,-0.009460156,-0.13358064,-0.3151085,-0.052731052,-0.31213662,-0.31427336,-0.06106283,-0.10932238,0.12382199,0.18612075,-0.012245451,-0.13621035,-0.2227531,-0.09685673,-0.310017,-0.15597887,0.19499956,-0.20104726,0.021679888,-0.19212742,0.29600078,-0.14874218
SRR28476080,-0.24707533,-0.2797831,-0.043049973,-0.2395795,-0.26499245,-0.12938488,-0.24782133,0.5439196,-0.12357064,-0.1482576,-0.05001178,-0.10637229,-0.12248306,-0.23525545,-0.18897572,-0.31079385,-0.018745655,-0.029425394,-0.13546544,-0.31368262,0.08114735,0.16052292,-0.09487729,-0.2479315,-0.30732572,-0.0002673386,-0.17131141,-0.20305699,0.0038323991,0.1677963,-0.31469342,-0.2789663,-0.3061334,-0.31413454,0.28550178,-0.02404438,0.04534369,-0.012762143,-0.18701358,-0.2775124,-0.31529164,-0.1867418,-0.20333764,-0.20558509,0.39899504,-0.26933178,-0.0009759658,-0.24827273,0.25607818,-0.09924951
SRR28476081,-0.3126427,-0.2753454,0.011526436,-0.21667302,-0.3142516,-0.14046732,-0.26620632,-0.13512704,-0.05861114,0.117657945,-0.31390926,-0.21874978,0.047527112,-0.1755479,-0.31191477,-0.30948907,-0.036481056,-0.31415078,0.1367907,-0.124971785,-0.24354434,-0.05993861,-0.0750825,-0.24685507,1.3711861,-0.31007278,-0.31215206,-0.19257852,-0.10863234,-0.16808484,-0.31464076,0.12070151,-0.1373669,-0.0036470955,0.30496046,-0.31494915,0.4058499,0.14775138,-0.14419676,-0.12607238,0.14241104,-0.031940646,-0.30912402,-0.31009936,-0.15564528,-0.19867186,0.15666363,-0.087054916,-0.031301692,-0.29584274
SRR28476082,-0.06886084,0.014784715,-0.18895823,-0.023254931,-0.26316598,0.015593844,-0.23312451,-0.11875944,-0.06922793,0.014820239,-0.31507748,-0.13032687,-0.075778455,-0.2948393,-0.31494895,0.23908265,-0.03408892,-0.14113766,0.02692926,-0.27978185,-0.2645788,0.15359582,0.018161476,-0.26852182,-0.31120944,-0.19748472,1.0141166,-0.049625356,0.07968336,-0.17278999,0.023857692,-0.09004536,-0.27361327,-0.314798,-0.07881098,-0.066991284,-0.12069085,0.14551441,0.18870714,-0.051468827,-0.25653633,-0.016518554,-0.30810228,-0.26193243,-0.14186123,-0.29473543,0.082095474,-0.12911749,0.14566806,-0.22914225
SRR28476083,-0.18409371,-0.30203584,0.13865803,-0.05390643,-0.1290146,-0.063911416,-0.060574893,-0.28764412,-0.09694803,-0.25477898,-0.28938594,-0.14348905,-0.25151613,-0.2729271,-0.31428838,-0.30387098,-0.038392246,-0.19499694,-0.038937584,-0.30110908,0.013524612,-0.017142536,0.14690213,-0.19530176,-0.115260914,-0.312092,-0.30690688,-0.10542343,-0.0034716106,-0.17711814,0.07125036,-0.1677589,-0.31477317,-0.31398147,0.18210675,-0.074710965,-0.1984101,-0.0013036391,0.0968697,-0.112945534,-0.29954132,0.0625103,-0.30326003,-0.3120966,-0.09119658,-0.19591449,-0.083029844,-0.2508854,0.10333147,-0.22458875
