gene,det_rate_hc,hc_mean_count,time_glm_s,theta_glm,time_bglm_s,theta_bglm,time_lap_s,theta_lap
ENSG00000112782.19,0.9206827309236948,89.81927490234375,0.004812753002624959,1.0031140586488523,2.1213555370341055,0.8696758151054382,4.744527085975278,0.9710333347320557
ENSG00000112787.15,0.9789156626506024,351.7600402832031,0.00561829301295802,2.7853836800626235,2.1625079010264017,1.6920840740203857,4.861444868030958,1.8651841878890991
ENSG00000112796.11,0.26907630522088355,2.4949798583984375,0.010477101954165846,0.14804327021510869,2.45856455800822,0.14923959970474243,4.1787919129710644,0.18744775652885437
ENSG00000112799.10,0.9518072289156626,76.85240936279297,0.0045774870086461306,1.2590490686191325,2.530642525991425,0.970449686050415,4.82646615098929,1.0559914112091064
ENSG00000112812.17,0.24799196787148595,2.6787147521972656,0.01101235201349482,0.11888245153782434,1.9952151030302048,0.1187375858426094,4.115399926027749,0.15448319911956787
ENSG00000112837.17,0.1746987951807229,2.598393678665161,0.003485244989860803,10000.0,2.1402685189968906,0.10597213357686996,3.9698885140242055,0.10802217572927475
ENSG00000112851.17,1.0,3053.132568359375,0.0068501130444929,9.444549606126698,2.2488171880249865,2.156909227371216,4.846487709030043,2.450038433074951
ENSG00000112855.18,0.9337349397590361,79.95381164550781,0.005256539036054164,1.3174308269206376,2.259005566011183,1.0149965286254883,4.7744664560304955,1.0983645915985107
ENSG00000112874.11,0.5220883534136547,8.502008438110352,0.007363531040027738,0.27301833794106894,1.1860004829941317,0.2729759216308594,4.246520654007327,0.34638044238090515
ENSG00000112877.9,0.5763052208835341,11.67771053314209,0.00761781696928665,0.31866217820899706,0.9119586710003205,0.31869029998779297,4.489300369983539,0.38111191987991333
ENSG00000112893.11,0.9839357429718876,560.865478515625,0.006242425995878875,4.2842252405022805,2.651329935004469,2.0148983001708984,5.122362997033633,2.223884105682373
ENSG00000112902.13,0.5020080321285141,17.039155960083008,0.009192641009576619,0.1821370295475745,1.2405474620172754,0.18272468447685242,4.606265862996224,0.22473052144050598
ENSG00000112936.22,0.4789156626506024,10.117469787597656,0.00927697995211929,0.2026684474128365,1.2837226529954933,0.20253413915634155,4.362026004993822,0.251138299703598
ENSG00000112941.15,0.9568273092369478,103.96385192871094,0.005102606024593115,2.1724829061033732,2.2092627739766613,1.331742525100708,4.954124920011964,1.4239534139633179
ENSG00000112964.15,0.5572289156626506,9.451807022094727,0.007459148007910699,0.28326446225213175,1.1735800989554264,0.2832711338996887,4.490942111995537,0.3585518002510071
ENSG00000112972.16,0.9738955823293173,124.6927719116211,0.005227487999945879,2.4276466334570275,2.4746178329805844,1.3950984477996826,5.007369970029686,1.4990471601486206
ENSG00000112977.17,0.998995983935743,2060.865478515625,0.006131080037448555,4.714059490245008,2.3801148619968444,1.0269200801849365,5.035696509992704,1.1523795127868652
ENSG00000112983.18,0.9748995983935743,168.19076538085938,0.005852318019606173,2.4547875794702474,2.2020556940115057,1.1721268892288208,4.856331371993292,1.2629754543304443
ENSG00000112984.13,0.6726907630522089,20.64558219909668,0.007188196002971381,0.3907438949283324,1.3912639449699782,0.3905017375946045,4.7438834449858405,0.4728456437587738
ENSG00000112992.19,0.9849397590361446,341.7419738769531,0.006190524960402399,4.5327197057643005,2.2821133930119686,2.037114381790161,5.042093339026906,2.2136783599853516
ENSG00000112996.12,0.9518072289156626,116.58433532714844,0.005598850024398416,1.6420742639263652,2.381818244000897,1.2048711776733398,5.052905258024111,1.3081860542297363
ENSG00000113013.17,1.0,671.223876953125,0.006468234991189092,5.789226053268082,2.249966200964991,1.4391831159591675,5.064990243001375,1.5974797010421753
ENSG00000113048.20,0.9748995983935743,132.651611328125,0.005009992979466915,2.1710171363428605,2.406916245003231,1.257703185081482,5.023358557955362,1.3540122509002686
ENSG00000113068.11,0.9809236947791165,135.36044311523438,0.00540719396667555,2.6641335403497295,2.3534380519995466,1.2729562520980835,5.09316323697567,1.3614113330841064
ENSG00000113070.9,0.5963855421686747,12.502008438110352,0.006664866989012808,0.3849868551781033,1.2640135459951125,0.3855895698070526,4.589077598997392,0.4856436848640442
ENSG00000113083.16,0.6626506024096386,24.699798583984375,0.007105761033017188,0.4195950942149163,0.5438587590469979,0.42673030495643616,4.747238087991718,0.4844091236591339
ENSG00000113088.6,0.5170682730923695,8.771084785461426,0.007380871044006199,0.2952121419605914,1.821523689024616,0.295095831155777,4.959701897983905,0.40375083684921265
ENSG00000113108.21,0.5863453815261044,18.718875885009766,0.00563606497598812,10000.0,1.2350425359909423,0.2887391746044159,4.8877667429624125,0.36278361082077026
ENSG00000113119.14,0.8152610441767069,36.98594284057617,0.006437591975554824,0.6279466115542492,2.47074205201352,0.598095715045929,5.324515877000522,0.6499982476234436
ENSG00000113140.12,1.0,10652.9306640625,0.006711839989293367,5.272159966980948,2.5107091259560548,1.487426519393921,5.324968349013943,1.7088725566864014
ENSG00000113141.20,0.9979919678714859,1326.543212890625,0.00769806100288406,5.964119610747164,2.3830448419903405,1.2190824747085571,5.2910482449806295,1.3695423603057861
ENSG00000113161.18,0.8815261044176707,47.61546325683594,0.00555595604237169,1.0145357776877777,2.4440722839790396,0.9653944969177246,5.546270056976937,1.0938090085983276
ENSG00000113163.20,0.9869477911646586,319.97991943359375,0.006057886988855898,4.401019346104554,2.3881130520021543,1.748685598373413,5.0733897389727645,1.891616702079773
ENSG00000113194.14,0.9417670682730924,82.19176483154297,0.004570484976284206,1.546406384540145,2.202392532955855,1.206699252128601,5.003114945022389,1.3096762895584106
ENSG00000113205.5,0.3473895582329317,3.895582437515259,0.010488778003491461,0.1698028873968531,1.625131490000058,0.16958530247211456,3.929681050009094,0.33345773816108704
ENSG00000113211.6,0.12349397590361445,2.2650601863861084,0.006833577004726976,0.0,0.6167656049947254,0.10535088181495667,3.980834321992006,0.10297222435474396
