,ENSG00000158292.8,ENSG00000100276.11,ENSG00000179761.13,ENSG00000196826.7,ENSG00000250021.7,ENSG00000127325.20,ENSG00000105976.17,ENSG00000187079.20,ENSG00000213088.15,ENSG00000203811.2,ENSG00000269955.2,ENSG00000136488.15,ENSG00000259753.1,ENSG00000129824.16,ENSG00000203852.4,ENSG00000288643.1,ENSG00000154153.15,ENSG00000165948.12,ENSG00000156239.13,ENSG00000188130.15,ENSG00000188811.14,ENSG00000197483.11,ENSG00000185829.19,ENSG00000072694.23,ENSG00000187116.15,ENSG00000133687.17,ENSG00000180537.14,ENSG00000071553.19,ENSG00000288859.2,ENSG00000270276.3,ENSG00000197238.5,ENSG00000278637.3,ENSG00000049759.21,ENSG00000151876.14,ENSG00000171067.12,ENSG00000100865.15,ENSG00000130958.14,ENSG00000124767.8,ENSG00000221978.14,ENSG00000118197.15,ENSG00000182093.16,ENSG00000138798.14,ENSG00000104067.18,ENSG00000139132.16,ENSG00000143149.14,ENSG00000117859.20,ENSG00000108587.17,ENSG00000157538.15,ENSG00000177885.16,ENSG00000073584.21,ENSG00000163681.18,ENSG00000153071.16
SRR14506870,-0.79837555,1.1988046,0.549304,1.3419961,0.82376975,-0.01547783,-0.9611176,0.7088606,0.3184524,0.74987084,-0.96918654,-0.37291202,0.53899735,0.9744856,-0.50239044,-0.472444,0.020656591,-0.23515733,0.3268437,-0.021561678,0.4477509,-0.16697645,-1.4135576,-0.011715381,0.00848115,-0.28588167,0.9517584,-0.05874754,0.1368001,-0.5155216,-1.5514141,-0.09468142,0.078157976,0.37644958,0.2349238,0.16273224,-0.16409928,0.3733527,-0.43284944,-0.54747796,0.8019928,-0.13740529,-0.33026537,-0.309878,0.114972875,0.04723792,-0.400755,0.16877376,-0.10431532,-0.05767224,-0.26207438,-0.27109653
SRR14506871,1.6187328,1.3361849,0.69623923,0.40205768,0.8868616,0.7270345,0.69606316,0.4423441,0.07443176,1.0256541,-0.5644982,0.90637183,0.5103762,1.3795167,-0.55810374,0.4321313,0.19119626,0.84476626,0.42035177,1.0917915,0.29029414,0.8386991,1.0133041,0.42317218,0.7678464,-0.2666678,0.24322459,-0.028619418,0.9564005,0.45045227,-1.303019,-0.07876397,-0.20384507,0.69653094,0.20273802,0.29585958,-0.2719104,0.6026413,0.5356305,-0.05440766,0.102980904,-0.41637596,-0.685327,-0.20253696,-0.11857961,0.55359846,-0.26158202,-0.23182145,-0.24468249,-0.016407846,-0.6884695,-0.31136873
SRR14506872,-0.3035838,1.5883219,0.5761353,0.7159797,0.85364145,0.3855378,0.4445569,0.3486734,0.67831033,0.90902686,-0.2737855,0.43796232,-0.31792334,1.6190741,0.15313523,0.6522803,0.61012936,1.0063934,0.09030734,-0.20113789,-0.086649396,0.74702215,-0.20971575,-0.23333034,-0.060261328,-0.5883149,-0.14697447,-0.9036928,-0.3593618,0.25259474,0.27867103,-0.03230228,0.16658461,0.071120195,0.22707523,0.4903832,-0.1587772,0.57089746,-0.05764171,-0.30795547,0.1313582,-0.5053121,1.6577771,0.23928554,-0.6151615,0.3476464,0.020895524,-0.18869676,-0.33861607,0.49746293,0.05493429,-0.3714136
SRR14506873,-0.93580145,-0.57564765,0.7588358,-0.5370227,-1.2039227,-0.0307694,-1.1246552,-0.9217484,-0.6954873,0.49233982,-1.0166967,-0.55086213,1.9381789,-1.022025,-0.57582253,-0.5501448,1.2008877,0.036051515,0.2648721,0.8633126,0.97163165,-1.21121,0.24779592,0.106985226,-0.5154256,-0.8911797,0.30477172,-0.17163865,0.4723304,-0.64625937,0.12783332,0.15523766,0.17967442,-0.19675225,-0.013360788,-0.26959372,-0.028803859,-0.314663,0.017068675,-0.48566797,-0.18586735,0.11765173,0.08308849,0.1558669,-1.0039409,0.08568523,0.3324568,-0.13833395,-0.26755077,0.11396302,0.21984206,-0.100139104
SRR14506874,0.6279369,1.1348337,0.32552254,1.2628992,-0.17206459,0.16916858,1.2526796,-0.12824878,0.47087625,0.9991281,0.9203573,0.98573935,1.1698822,-0.003297395,1.0892681,1.0227284,0.3091924,0.20006047,0.9314748,0.44323242,0.34281215,-0.009298462,0.60307676,0.94796485,-0.6439342,-0.12491212,0.50012565,0.51517457,0.29991475,0.24277812,0.22027285,0.48077914,0.03603281,0.48481455,0.549901,0.22321282,0.1311979,0.22565004,1.0656894,0.101806015,-0.75625014,0.105636075,-0.28324452,-0.34527394,-0.8023751,0.37577704,0.045212694,-0.19758135,-0.15615517,-0.35509056,-0.15899874,-0.2949
SRR14506875,1.0425452,1.2184914,0.8397026,1.5316813,0.6080547,0.48204094,0.1183027,0.7286955,0.32256752,-0.89441687,-0.9337889,-0.6110396,0.70106393,0.9565612,1.3601711,-0.59306467,0.32915977,0.49435905,0.44117138,-1.145731,0.07403667,-1.2880367,0.18719754,0.46642706,0.29637456,0.38870677,1.6212468,0.1797466,0.29134145,0.50452644,0.46181425,-0.02264933,1.3288733,-0.12733439,0.5799978,0.022553692,0.22633636,0.19012153,-0.33342525,-0.20349117,-0.34370065,0.3894645,0.45981836,0.31279325,0.38883457,0.049436837,0.1174672,0.17561813,0.29114842,0.542575,0.258271,0.17107515
SRR14506876,-0.5678876,-0.13743103,0.32470292,-0.09000643,-0.5516485,-0.55172616,-0.39499742,0.80312634,0.46283662,-0.57891256,-0.1512778,-0.20346017,1.2896421,1.3376132,0.9187614,-0.06646099,0.09504877,0.8329129,0.21212865,0.37029785,1.1005157,0.32473454,0.65880907,0.50829947,-0.18622872,0.06284593,-0.08556879,-0.23009625,0.8161276,0.38553366,0.77752167,-0.7518846,0.026088128,0.89280576,0.64617896,0.17742866,0.5522235,0.32869393,0.49036708,0.16573107,-0.8631604,-0.09002551,0.6442658,-0.19705422,-0.26454812,0.53648067,0.57569665,0.38423178,0.34467292,0.5047802,-0.09313,0.847545
SRR14506877,0.9151932,-0.72366583,0.92534304,1.1400894,-0.9928983,0.57178473,0.77634525,-0.8042294,-0.7816342,-1.0800855,-0.84612834,-0.7356468,-0.9357346,1.59332,0.8085314,-0.7096557,-0.039764192,0.4884502,0.7901592,-1.3046465,0.19565067,-0.14925273,0.5197999,0.34949908,-0.081779785,0.50260675,0.3821423,0.28233546,0.030340273,-2.179862,-1.0980827,0.2027039,-1.2878776,0.038103707,0.7928811,-2.512955,0.044259224,1.5138767,0.804924,0.30658352,-0.18240947,0.33514896,1.0199878,0.24683034,0.06696731,0.71410125,-0.652564,0.45270482,0.016760074,0.7214895,0.27580833,-0.0025136885
SRR14506878,0.9425713,1.4540194,0.6027338,1.411273,1.0703281,0.8402355,0.9548256,0.77467483,0.5435439,1.3381847,0.8645335,1.2097924,0.7839671,1.5905222,0.94351566,1.16788,0.13087083,0.57007354,0.1947444,0.5646973,0.48946184,0.31286007,0.36794168,0.4926773,0.6471896,0.4645778,0.64848405,0.35154682,0.5136918,-0.92829764,0.27963814,0.738636,0.65968114,-0.09121175,0.12884995,0.22575833,0.28877148,0.6966047,-0.07044588,0.5501661,1.1153417,0.39416903,0.78273046,-0.003755771,0.42913273,0.44282296,-0.41467875,-0.27409673,0.44443342,0.117987484,0.30882108,0.7448042
SRR14506887,1.107132,-1.0161091,0.06895715,-1.0430865,1.0342379,0.5987858,0.9833322,-1.443526,0.38488778,0.74127156,1.3476641,-1.0029087,1.0710306,1.3323684,-1.0818713,-1.0055199,0.8008439,0.67618465,-0.3099252,-0.31736735,0.58652186,0.12337883,0.0912898,0.91171634,0.24022967,0.31846777,-0.78583544,0.2625818,0.5238542,1.1527373,1.034158,0.21576528,-0.07107388,0.38584182,-0.061180267,0.47405156,-0.111103974,0.3363402,0.3766104,0.23843676,0.031069733,-0.16469094,0.13464986,-0.07905997,-0.19966076,0.055443946,0.0054235063,-0.14973447,-0.12515791,0.3248097,-0.15703458,-0.24095052
