,ENSG00000158292.8,ENSG00000100276.11,ENSG00000179761.13,ENSG00000196826.7,ENSG00000250021.7,ENSG00000127325.20,ENSG00000105976.17,ENSG00000187079.20,ENSG00000213088.15,ENSG00000203811.2,ENSG00000269955.2,ENSG00000136488.15,ENSG00000259753.1,ENSG00000129824.16,ENSG00000203852.4,ENSG00000288643.1,ENSG00000154153.15,ENSG00000165948.12,ENSG00000156239.13,ENSG00000188130.15,ENSG00000188811.14,ENSG00000197483.11,ENSG00000185829.19,ENSG00000072694.23,ENSG00000187116.15,ENSG00000133687.17,ENSG00000180537.14,ENSG00000071553.19,ENSG00000288859.2,ENSG00000270276.3,ENSG00000197238.5,ENSG00000278637.3,ENSG00000049759.21,ENSG00000151876.14,ENSG00000171067.12,ENSG00000100865.15,ENSG00000130958.14,ENSG00000124767.8,ENSG00000221978.14,ENSG00000118197.15,ENSG00000182093.16,ENSG00000138798.14,ENSG00000104067.18,ENSG00000139132.16,ENSG00000143149.14,ENSG00000117859.20,ENSG00000108587.17,ENSG00000157538.15,ENSG00000177885.16,ENSG00000073584.21,ENSG00000163681.18,ENSG00000153071.16
SRR14506870,-0.88255185,1.1707839,0.7165967,1.0897745,0.5333757,0.045633066,-1.0157318,0.32213774,0.30028576,0.72491896,-1.1364466,-0.45181066,0.44594154,1.0498391,-0.91126084,-0.8517363,-0.07759392,-0.10960159,-0.03149942,-0.15168008,0.30281112,-0.15724397,-1.5716673,-0.25917318,-0.49006048,-0.580749,0.6113632,0.39874527,0.28255317,-0.20468783,-1.4384851,0.0025590453,-0.06130064,0.19497927,0.5247647,-0.3585634,0.005785192,-0.16836813,-0.6481423,-0.65056646,0.68007857,-0.4087559,-0.8169492,-0.19375616,-0.23930837,-0.19759679,-0.36240944,0.071105026,-0.13008769,-0.08861554,-0.25083363,-0.3059245
SRR14506871,1.2958789,1.1940264,0.82223314,0.18514432,1.0316178,0.95023465,0.5654959,0.4076663,0.099202976,1.0745571,-0.7121315,0.5903234,0.5565472,1.4222097,-0.4797216,-0.29273966,0.22674961,0.405404,0.50848305,1.3126401,0.1327705,1.1040479,0.88597065,0.14983772,0.50777507,-0.18107909,0.37509573,0.2052721,0.9848235,0.7165016,-1.1253235,-0.10735737,0.04468003,0.7612304,0.4265192,0.14799161,-0.12844379,0.94387347,0.4469186,0.14097372,0.3463048,0.02082928,-0.06794866,-0.074885525,0.04532051,0.41952956,-0.26355183,-0.2828144,-0.35308126,0.043007564,-0.5258117,-0.0687293
SRR14506872,-0.19614823,0.91868883,0.7860307,0.14561756,0.9178748,0.6806486,0.61583877,0.9456279,0.64280653,0.9242276,-0.50280344,0.13555041,-0.4643907,1.7267758,-0.16459139,-0.17374402,0.83278805,1.0890019,-0.06393196,-0.1221237,-0.17612174,1.4949918,-0.26008114,-0.19340956,-0.0016535304,-0.11199924,-0.060104933,-0.45172384,0.05978438,0.93452686,0.53625304,0.486148,0.48845688,-0.12062803,0.44403216,0.3924562,0.11919528,0.37412176,-0.02249344,-0.010749403,0.49235559,0.1492713,2.4320326,0.10735293,-0.5461208,0.39085013,-0.16822974,-0.16585825,-0.39689514,0.5586043,0.06651515,-0.13030408
SRR14506873,-0.94670314,-0.6740195,1.0125751,-0.7365827,-1.1711159,0.092927836,-1.0810046,-1.061173,-1.0105853,0.41378748,-1.1744256,-0.6554113,1.4908639,-1.0869238,-0.8133259,-0.91046697,0.9369341,-0.05726436,-0.10019314,0.7008555,0.49015263,-1.0843407,-0.1433706,-0.27265108,-0.7843562,-0.88007236,0.086961485,0.18259177,0.5296852,-0.07752613,0.5128344,0.6490321,-0.014681045,-0.5002713,0.14972632,-0.71640676,0.24547729,-0.79582787,-0.39186466,-0.5557395,-0.36302269,0.059631236,0.046768885,0.05944402,-1.311505,-0.2660478,-0.009128767,-0.33137843,-0.6120215,-0.19549498,0.018889772,-0.25421673
SRR14506874,0.55055624,0.6536167,0.57352746,0.479596,-0.3934074,0.44154653,1.325159,-0.22273366,0.46686786,0.8948756,0.6607347,0.76965916,1.0990025,-0.2127482,0.33564317,-0.026634512,0.13237925,-0.041859,0.65769345,0.17534779,0.11737564,0.17072228,0.52490413,0.8849199,-0.7470293,-0.05999405,0.26897123,0.7280155,0.56126165,1.2720847,0.50991446,1.4648758,-0.081028976,0.2477683,0.790957,0.0037206807,0.44605708,-0.17144328,0.8495304,0.10623097,-0.65296173,0.08306248,-0.083763316,-0.22325377,-1.0380027,0.13168962,-0.13601628,-0.4585052,-0.7043909,-0.6008123,-0.39939898,-0.37525994
SRR14506875,1.5020527,0.844949,1.1891166,1.2310336,1.5354396,0.33866027,0.5332125,1.0348407,0.22714415,-0.9964605,-1.1591978,-0.6814238,0.38170955,1.0639484,3.1510851,-0.82240844,0.37938452,0.3382069,0.22277746,-1.1979522,-0.19552349,-0.9836422,-0.16814475,0.33128053,0.26616207,0.8436243,2.2228954,0.34132257,0.3823967,1.1687598,1.0762011,0.2276747,1.6201037,-0.7236824,0.4623017,-0.1590939,-0.0013842764,-0.24673307,-0.68656695,0.17849192,-0.64369774,0.42370892,1.6582364,-0.30775,0.43262416,-0.1533005,-0.636024,-0.10740983,-0.23154433,0.3317004,-0.06024681,-0.3590855
SRR14506876,-0.9699836,-0.34144413,-0.2781313,-0.3039017,-1.1917162,-1.0967139,-1.2013329,0.27649045,-0.0056224386,-0.82973284,-0.9101935,-0.40699714,0.3949498,1.4619766,0.20088826,-0.38109845,0.5603269,2.0196986,0.46517622,0.18421848,1.4443965,0.050504472,0.6142288,0.9775311,-0.7429741,0.2668776,-0.61851156,-0.22547582,1.2394996,-0.25110236,-0.053950604,-1.7998296,-0.45457533,1.1710609,1.0158336,-0.31133965,0.384546,0.48727638,1.2678943,0.05037976,-1.3106723,-0.691745,-0.87948614,-0.56760913,-0.6272247,0.8208399,0.2540559,0.4542034,-0.045866407,0.5648329,-0.625472,0.21054877
SRR14506877,1.7009033,-0.8624355,1.0901802,0.9259576,-1.397113,0.6102413,1.1719521,-1.3601698,-1.447601,-1.2019061,-1.2403423,-0.9319157,-1.2421016,2.046389,1.1917259,-0.9262346,0.090961665,0.238707,1.017404,-1.4369138,0.21248002,-0.46224338,0.19610734,0.4374909,-0.08598329,1.0759022,0.07751997,0.2520599,0.4936502,-2.3844852,-1.6597972,-0.5278438,-1.2371331,-0.03220403,1.4168248,-2.7267222,-0.017071981,2.6273599,0.95143425,0.60247624,-0.7245003,0.8909688,0.9639717,-0.16475195,0.4405732,1.1340022,-0.87037057,0.593987,-0.112965204,1.4219544,0.17059292,-0.39587647
SRR14506878,0.62493795,1.337608,0.24632251,1.1036928,0.6467979,0.75779796,0.66506445,-0.032698393,0.77208066,0.9875498,-0.3039968,0.95988023,-0.21551438,1.5187569,-0.30308974,0.5214229,-0.11393792,1.2075416,-0.1237486,0.517037,0.37086517,0.14133339,0.14130476,0.2549332,0.74657464,-0.0034508167,0.18446021,-0.05079922,0.9657378,-1.7018107,-1.0006825,0.6338675,0.22554669,-0.116237774,0.32461745,0.19977711,-0.11496085,1.2787629,0.14057873,-0.06309407,1.1207607,-0.554572,-0.88035005,-0.992162,0.32285,0.23112711,-1.1014712,-0.52611905,-0.33591786,0.12989774,-0.6866289,0.04806841
SRR14506887,1.1302017,-1.1500372,0.24317504,-1.211457,1.4895858,0.72585887,1.2317494,-1.5226618,0.26163214,0.6012225,1.0013245,-1.09685,0.8961875,1.2428495,-1.2422438,-1.3367269,0.67105395,0.3368255,-0.517908,-0.39661664,0.15108047,0.47443363,-0.11154234,0.40866658,-0.0703207,0.326874,-0.8509362,0.49880126,0.596489,2.0301843,1.4885503,0.6546499,-0.06409209,-0.060412154,-0.031512145,-0.01654277,-0.01752177,-0.04922914,0.0009412426,0.31185186,-0.1975523,0.008992618,0.7270872,-0.3114929,-0.34170806,-0.20590106,-0.4761087,-0.35767657,-0.5990565,-0.043588318,-0.4089353,-0.5393972
