,ENSG00000158292.8,ENSG00000100276.11,ENSG00000179761.13,ENSG00000196826.7,ENSG00000250021.7,ENSG00000127325.20,ENSG00000105976.17,ENSG00000187079.20,ENSG00000213088.15,ENSG00000203811.2,ENSG00000269955.2,ENSG00000136488.15,ENSG00000259753.1,ENSG00000129824.16,ENSG00000203852.4,ENSG00000288643.1,ENSG00000154153.15,ENSG00000165948.12,ENSG00000156239.13,ENSG00000188130.15,ENSG00000188811.14,ENSG00000197483.11,ENSG00000185829.19,ENSG00000072694.23,ENSG00000187116.15,ENSG00000133687.17,ENSG00000180537.14,ENSG00000071553.19,ENSG00000288859.2,ENSG00000270276.3,ENSG00000197238.5,ENSG00000278637.3,ENSG00000049759.21,ENSG00000151876.14,ENSG00000171067.12,ENSG00000100865.15,ENSG00000130958.14,ENSG00000124767.8,ENSG00000221978.14,ENSG00000118197.15,ENSG00000182093.16,ENSG00000138798.14,ENSG00000104067.18,ENSG00000139132.16,ENSG00000143149.14,ENSG00000117859.20,ENSG00000108587.17,ENSG00000157538.15,ENSG00000177885.16,ENSG00000073584.21,ENSG00000163681.18,ENSG00000153071.16
SRR14506870,-0.8928326,1.1962863,0.7158153,1.1675406,0.5254982,0.035198092,-1.0289792,0.3073871,0.29832318,0.7164033,-1.1400675,-0.44255936,0.57745534,1.1359049,-0.3305332,-5.6120014,-0.098437704,-0.11273243,-0.04496284,-0.16603348,0.2996366,-0.16412589,-0.33061618,-0.27466995,-0.49938858,-0.5918954,0.6104804,0.40087906,0.2823841,-0.2151299,-1.4608005,-0.0025252395,-0.06387149,0.19079195,0.52911216,-0.37676805,-0.028846974,-0.2424059,-0.68758106,-0.71476835,0.6985391,-0.63740647,-0.8664276,-0.29881272,-0.38006443,-0.35231856,-0.59800845,-0.012525432,-0.37541562,-0.39764717,-0.5206049,-0.49760082
SRR14506871,1.3203615,1.237876,0.8198937,0.23265573,1.0378535,0.95127904,0.5638524,0.40043187,0.101593055,1.076885,-0.7083889,0.61666214,0.685136,1.4481497,0.94882166,-5.6120014,0.21495965,0.404692,0.5065919,1.3272731,0.12586506,1.122831,3.1453965,0.14303201,0.5123536,-0.18699972,0.36963716,0.2053441,0.9922987,0.72259337,-1.1429336,-0.11151421,0.042016666,0.7666097,0.42676055,0.14185597,-0.174934,0.9980573,0.4462174,0.12455575,0.33766928,-0.08699399,-0.08785704,-0.15811244,-0.032751344,0.43183327,-0.4679974,-0.4820649,-0.72382987,-0.17197108,-0.9243362,0.013937746
SRR14506872,-0.2042601,0.93703634,0.7843486,0.19814853,0.917457,0.6750694,0.6127326,0.9469542,0.64550537,0.92243814,-0.4943104,0.10413538,-0.2919589,1.706255,0.86828786,-5.6120014,0.82889324,1.0890899,-0.07429831,-0.13485523,-0.18664454,1.5125659,3.097917,-0.2046308,-0.0049628103,-0.11708141,-0.07216617,-0.4592739,0.05595952,0.93958926,0.531293,0.48687974,0.49015632,-0.13355087,0.44375888,0.39146405,0.09331989,0.35844103,-0.040311728,-0.03705871,0.4927791,0.07372954,2.5083413,0.05394573,-0.75752133,0.39412534,-0.34439218,-0.32827386,-0.79159266,0.7482959,-0.060722277,-0.1395585
SRR14506873,-0.9538331,-0.6727982,1.0139061,-0.71338034,-1.185849,0.08070003,-1.0911256,-1.0727508,-1.012714,0.39213637,-1.1790462,-0.6555761,1.5230751,-0.9617315,-0.4767383,-5.6120014,0.9355862,-0.06404562,-0.114099056,0.70139056,0.48832068,-1.0885369,3.1090512,-0.2888972,-0.7971008,-0.8944857,0.07434737,0.18152443,0.5325202,-0.085298285,0.49194738,0.65539545,-0.01707071,-0.5215848,0.14764026,-0.74470544,0.2325876,-0.9434097,-0.42292204,-0.6147185,-0.43030417,-0.03434168,0.031941783,-0.0004736511,-1.6913241,-0.4426672,-0.12917109,-0.5464965,-1.1223614,-0.59063125,-0.12711683,-0.29857463
SRR14506874,0.53848845,0.64510953,0.57056785,0.544515,-0.4238099,0.43578002,1.3334134,-0.24997668,0.46790034,0.88979673,0.6616148,0.7754668,1.1679907,-0.0010425801,1.6633126,-5.6120014,0.112399645,-0.047264855,0.6568604,0.16292608,0.109041326,0.16667694,3.141213,0.8918532,-0.7610118,-0.064824186,0.25852978,0.73510456,0.5655207,1.288311,0.49227625,1.485504,-0.08462854,0.24411869,0.79926103,-0.005515829,0.45346454,-0.2460982,0.86617786,0.089011,-0.74357456,-0.00023201121,-0.103647426,-0.3339665,-1.3589966,0.06743542,-0.2962125,-0.7132448,-1.2655602,-1.3125143,-0.73799264,-0.5291002
SRR14506875,1.551064,0.8553654,1.1997778,1.2303978,1.5641763,0.32337227,0.52999866,1.0522598,0.22261746,-1.0266128,-1.1734831,-0.6856881,0.48654342,1.1430471,3.1763766,-1.2504932,0.36604503,0.33131766,0.20955096,-1.2128167,-0.2160895,-0.9860213,3.1163197,0.32388374,0.26603025,0.8553104,2.2827775,0.34069726,0.37993917,1.1870353,1.0723312,0.22528422,1.6470925,-0.75642616,0.46442255,-0.17504093,-0.039562564,-0.3370992,-0.7324429,0.16438673,-0.7385938,0.420621,1.7161467,-0.4428049,0.44206125,-0.30267015,-0.9707705,-0.25338626,-0.5396558,0.347145,-0.24880624,-0.5427653
SRR14506876,-1.0647702,-0.40978062,-0.34027097,-0.28521952,-1.2813308,-1.1454217,-1.2883564,0.21801436,-0.040584043,-0.9730686,-0.9649159,-0.54454607,0.4320811,1.5010022,3.184401,-5.6120014,0.5334595,2.0989766,0.44711065,0.1522662,1.4812832,0.010400225,3.1317003,0.98392034,-0.7836883,0.25728673,-0.728123,-0.24583937,1.2628262,-0.28212655,-0.09792284,-1.871159,-0.48331094,1.1979257,1.0337635,-0.3453195,0.38560605,0.4925577,1.3072244,0.021165153,-1.4762235,-1.0205324,-0.9564289,-0.7555992,-0.87713283,0.945196,0.22282399,0.4773589,-0.25610602,0.7667141,-1.0775727,0.28038466
SRR14506877,1.7194338,-0.87482274,1.0821866,0.98453355,-1.4276733,0.5950737,1.1714219,-1.3891658,-1.462536,-1.2391062,-1.2568121,-0.95984244,-1.1667284,2.0058224,3.203135,-2.533625,0.060917795,0.22901992,1.0206625,-1.4586099,0.19748968,-0.49293712,3.1370625,0.4276901,-0.096486755,1.0865008,0.051576592,0.24619569,0.4913456,-2.4253898,-1.6881771,-0.55140513,-1.2655655,-0.0479406,1.4346077,-2.7882292,-0.059874143,2.8889883,0.9688154,0.61295485,-0.82842594,1.0316958,0.9860555,-0.27109945,0.44448462,1.3362223,-1.2810206,0.66153693,-0.35801762,2.2857327,0.09533669,-0.7357348
SRR14506878,0.5499548,1.2363576,0.19361004,1.1458299,0.6152881,0.74878645,0.6263489,-0.14696226,0.7652926,0.93846864,-0.4325212,0.792694,-0.22413255,1.5643536,1.5157148,-3.8682106,-0.1973968,1.2518514,-0.18733531,0.49296403,0.35191193,0.09080454,3.1090882,0.22570682,0.7625945,-0.027593186,0.11465526,-0.070143655,0.9880257,-1.8064505,-1.150788,0.6383624,0.21786313,-0.14394993,0.32225153,0.18894297,-0.1713267,1.4074432,0.11685467,-0.10371088,1.1969267,-0.8437695,-0.97201294,-1.2790124,0.303876,0.18287314,-1.6202313,-0.83547974,-0.71530044,-0.014680671,-1.1746069,-0.034069702
SRR14506887,1.1512023,-1.1499784,0.23558977,-1.1977986,1.5112914,0.72168016,1.2475955,-1.5363693,0.26274154,0.58264357,1.0087546,-1.0950749,0.9820255,1.2989198,-0.9764993,-5.6120014,0.6646992,0.33212292,-0.53966457,-0.41948208,0.14211935,0.47905955,3.1049068,0.405282,-0.07453113,0.3280394,-0.88355035,0.5015553,0.5998579,2.0625458,1.4889085,0.6635704,-0.06818025,-0.07279459,-0.03754601,-0.027034951,-0.055068865,-0.11225263,-0.016279403,0.30705106,-0.2517726,-0.103997044,0.74030375,-0.4409688,-0.5085749,-0.36916086,-0.7529045,-0.58298314,-1.1057469,-0.32409275,-0.75516963,-0.74559546
